source,review_id,date,rating,review_text,lang
Google Play,7639e2ef-e524-41f5-b36b-4d085fc2fcf1,2026-04-29 16:47:54,1,why I am not getting ₹10 fno trade offer ?,en
Google Play,3aa8a6c1-0fe4-4991-94d2-ffd16df0e098,2026-04-28 22:33:31,3,kill switch button nahi h,en
Google Play,949bc477-3aa1-43be-9cda-2f782ebf58bf,2026-04-25 21:13:04,1,"Sometimes the position vanished from the chart, TP/SL didn't work on mobile, from desktop browsers I can but that also depends on luck, if I use setup then it works sometime, and then position disappear from chart. So frustrating, and last day while zooming in/out the chart my position got executed in loss, just ridiculous.",en
Google Play,2e8bccc1-6594-4093-9ce5-b79c58fb866a,2026-04-24 06:30:00,1,there is no LIMIT order sell...not for scalper...,en
Google Play,8db08345-5a0d-4e53-9231-de24cb4fec36,2026-04-10 18:54:08,5,l am a beginner star,en
Google Play,370983c7-459d-41f6-8e85-512ef80058b7,2026-04-10 13:48:49,3,Thank you for addressing my previous concern. I would also appreciate it if you could investigate the slow loading times and lag experienced with the issue charts.,en
Google Play,6ef7a14d-8a97-4552-bcdf-8fa91a7fe2a2,2026-04-08 16:22:58,5,pls provide Commodity trading also...,en
Google Play,e38c3954-c902-4d80-ba10-9c886c26206e,2026-04-07 09:05:30,4,best app ...but dual chart view must needed,en
Google Play,f94a1a17-2dc0-4f2a-8171-608b20234148,2026-04-02 22:07:58,2,Not as user friendly as expected.,en
Google Play,96b5325e-d51c-42f9-a595-c32357d11d87,2026-03-30 17:05:15,5,"Updating my review from 1 star to 5 star FnO Brokerage -10₹ per order(but you need to connect with customer support for this offer. if the offer is available, they will activate it). I have saved more than 2500₹ in March 2026. Other trading apps are charging 20₹ per order which were eating my profits.Fast trading and order execution.Flash scalping feature's User interface is uniquely designed. No other apps provide it.In a single click, I can change any call & put. So, YES to INDMoney.",en
Google Play,98c01b86-2d6a-4ffa-b268-b7afdad479f8,2026-03-29 23:29:26,5,brokerage charges really ₹5 good thanks,en
Google Play,07009b76-e9ad-4ee0-8f8d-a8777a61bdfc,2026-03-22 21:07:07,1,Flash trading se ind mony f&o me 1 year tak 10 rup.. Brokerage btaya tha Phir bhi 20 rupee Brokerage lag raha hai,en
Google Play,f7e40afc-bd92-4bdc-9e71-96e1fd2a7a86,2026-03-14 17:37:19,5,बेहतर और गजब का सपोर्ट देने के लिये . thanka lot,en
Google Play,40ba941d-5b50-4ae6-82ee-468f14de632c,2026-03-09 17:07:59,5,very nice... MTF interest is very affordable UI is also user friendly.. MTF order brokerage is Little bit high,en
Google Play,87e7f64a-6733-45d5-b8c2-b33cc7d58e6b,2026-03-07 20:34:08,5,best of f and o,en
Google Play,910baf18-7ba9-4d2f-b8bf-e706d1163f23,2026-03-04 16:25:29,1,"Every day at 9:15 AM when I place an order, it shows “Execute the order after market open” even though the market is already open and LTP is changing. This major glitch has been happening for over a month. Also, in Scalper Mode there is no option to view index and option charts together. Very frustrating experience.",en
Google Play,62a9018e-1fbd-4fa9-9039-6400dc47f574,2026-03-03 09:23:04,1,"ind flash trading app takes charges 20 rupees per order it is bad app now I closed permanently uninstalled this app and use groww zerodha and sahi app ,,, don't use aaltu faltu ind flash trading app.",en
Google Play,b6f1278d-9cf8-4c2e-bfca-7ac3a9b81da1,2026-03-02 14:56:36,5,"The app runs well on both mobile and PC, and its interface is quite nice. However, it would be better if it were optimized for tablets. The spelling keeps getting bigger and smaller as soon as the floating window opens.",en
Google Play,de623879-1111-4fa6-988e-e8e0908182f6,2026-03-02 09:02:00,4,App is very good but if dual chart view or triple chart view given then it's became the best trading platform across india,en
Google Play,7446a522-1532-441f-829a-678c81237a50,2026-02-21 15:01:40,1,chart pattern detection timely notification required in app. without notification there is no use of chart Pattern. Lots of strike is index option each strike cannot check manuallly for chart pattern detection and trade.,en
Google Play,1ed1f9c7-a40a-4a8d-a0a9-ffeab570dbb2,2026-02-16 12:06:42,5,good broking app . buy and exit very fast .,en
Google Play,acc967ae-be3c-463d-9b23-6253afa992db,2026-02-11 10:35:36,4,good experience in this app,en
Google Play,d475e5dd-3a22-4b4c-9618-bb7ec2d6261c,2026-02-11 00:57:20,1,मैंने गलती से ऑटो पर कर दिया था हेलो पागल बना दिया पैसे बहुत काट दिया aap log se nivedan hai ki is app ko Yojana Karen bhai nivedan hai please brother,en
